Link ID: _y387, 出現回数: 48, current_velocityが0の割合: 0.31
Link ID: _y684, 出現回数: 47, current_velocityが0の割合: 0.21
Link ID: _y934, 出現回数: 47, current_velocityが0の割合: 0.47
Link ID: _y1127, 出現回数: 47, current_velocityが0の割合: 0.77
Link ID: _y180, 出現回数: 47, current_velocityが0の割合: 0.28
Link ID: _y753, 出現回数: 45, current_velocityが0の割合: 0.22
Link ID: _y955, 出現回数: 45, current_velocityが0の割合: 0.20
Link ID: _y294, 出現回数: 44, current_velocityが0の割合: 0.45
Link ID: _y256, 出現回数: 43, current_velocityが0の割合: 0.07
Link ID: _y163, 出現回数: 42, current_velocityが0の割合: 0.21
Link ID: _y930, 出現回数: 42, current_velocityが0の割合: 0.21
Link ID: _y582, 出現回数: 41, current_velocityが0の割合: 0.63
Link ID: _y648, 出現回数: 41, current_velocityが0の割合: 0.78
Link ID: _y360, 出現回数: 41, current_velocityが0の割合: 0.05
Link ID: _y760, 出現回数: 41, current_velocityが0の割合: 0.15
Link ID: _y1195, 出現回数: 40, current_velocityが0の割合: 0.20
Link ID: _y1130, 出現回数: 40, current_velocityが0の割合: 0.55
Link ID: _y229, 出現回数: 39, current_velocityが0の割合: 0.10
Link ID: _y625, 出現回数: 39, current_velocityが0の割合: 0.46
Link ID: _y549, 出現回数: 39, current_velocityが0の割合: 0.49
Link ID: _y624, 出現回数: 39, current_velocityが0の割合: 0.54
Link ID: _y576, 出現回数: 38, current_velocityが0の割合: 0.50
Link ID: _y634, 出現回数: 37, current_velocityが0の割合: 0.19
Link ID: _y280, 出現回数: 37, current_velocityが0の割合: 0.59
Link ID: _y779, 出現回数: 36, current_velocityが0の割合: 0.64
Link ID: _y696, 出現回数: 36, current_velocityが0の割合: 0.42
Link ID: _y533, 出現回数: 36, current_velocityが0の割合: 0.06
Link ID: _y168, 出現回数: 36, current_velocityが0の割合: 0.39
Link ID: _y457, 出現回数: 36, current_velocityが0の割合: 0.11
Link ID: _y238, 出現回数: 35, current_velocityが0の割合: 0.23
Link ID: _y300, 出現回数: 35, current_velocityが0の割合: 0.14
Link ID: _y018, 出現回数: 35, current_velocityが0の割合: 0.03
Link ID: _y450, 出現回数: 35, current_velocityが0の割合: 0.49
Link ID: _y442, 出現回数: 34, current_velocityが0の割合: 0.26
Link ID: _y1122, 出現回数: 34, current_velocityが0の割合: 0.50
Link ID: _y515, 出現回数: 32, current_velocityが0の割合: 0.09
Link ID: _y853, 出現回数: 32, current_velocityが0の割合: 0.47
Link ID: _y472, 出現回数: 32, current_velocityが0の割合: 0.19
Link ID: _y922, 出現回数: 32, current_velocityが0の割合: 0.91
Link ID: _y571, 出現回数: 32, current_velocityが0の割合: 0.16
Link ID: _y454, 出現回数: 30, current_velocityが0の割合: 0.33
Link ID: _y182, 出現回数: 30, current_velocityが0の割合: 0.50
Link ID: _y774, 出現回数: 30, current_velocityが0の割合: 0.60
Link ID: _y741, 出現回数: 30, current_velocityが0の割合: 0.40
Link ID: _y674, 出現回数: 29, current_velocityが0の割合: 0.55
Link ID: _y1076, 出現回数: 29, current_velocityが0の割合: 0.45
Link ID: _y732, 出現回数: 28, current_velocityが0の割合: 0.57
Link ID: _y330, 出現回数: 28, current_velocityが0の割合: 0.07
Link ID: _y677, 出現回数: 27, current_velocityが0の割合: 0.30
Link ID: _y024, 出現回数: 27, current_velocityが0の割合: 0.07
Link ID: _y1042, 出現回数: 27, current_velocityが0の割合: 0.63
Link ID: _y331, 出現回数: 27, current_velocityが0の割合: 0.59
Link ID: _y507, 出現回数: 26, current_velocityが0の割合: 0.58
Link ID: _y1134, 出現回数: 26, current_velocityが0の割合: 0.38
Link ID: _y434, 出現回数: 25, current_velocityが0の割合: 0.68
Link ID: _y728, 出現回数: 24, current_velocityが0の割合: 0.58
Link ID: _y418, 出現回数: 24, current_velocityが0の割合: 0.88
Link ID: _y667, 出現回数: 24, current_velocityが0の割合: 0.42
Link ID: _y1112, 出現回数: 23, current_velocityが0の割合: 0.35
Link ID: _y1139, 出現回数: 23, current_velocityが0の割合: 0.13
Link ID: _y065, 出現回数: 23, current_velocityが0の割合: 0.17
Link ID: _y317, 出現回数: 23, current_velocityが0の割合: 0.43
Link ID: _y852, 出現回数: 22, current_velocityが0の割合: 0.77
Link ID: _y192, 出現回数: 22, current_velocityが0の割合: 0.09
Link ID: _y493, 出現回数: 22, current_velocityが0の割合: 0.86
Link ID: _y359, 出現回数: 22, current_velocityが0の割合: 0.64
Link ID: _y340, 出現回数: 21, current_velocityが0の割合: 0.90
Link ID: _y590, 出現回数: 21, current_velocityが0の割合: 0.33
Link ID: _y959, 出現回数: 20, current_velocityが0の割合: 0.70
Link ID: _y244, 出現回数: 18, current_velocityが0の割合: 0.61
Link ID: _y176, 出現回数: 18, current_velocityが0の割合: 0.06
Link ID: _y931, 出現回数: 18, current_velocityが0の割合: 0.50
Link ID: _y297, 出現回数: 18, current_velocityが0の割合: 0.33
Link ID: _y072, 出現回数: 18, current_velocityが0の割合: 0.61
Link ID: _y408, 出現回数: 17, current_velocityが0の割合: 0.82
Link ID: _y580, 出現回数: 17, current_velocityが0の割合: 0.47
Link ID: _y209, 出現回数: 17, current_velocityが0の割合: 0.53
Link ID: _y215, 出現回数: 17, current_velocityが0の割合: 0.06
Link ID: _y295, 出現回数: 16, current_velocityが0の割合: 0.75
Link ID: _y1113, 出現回数: 16, current_velocityが0の割合: 0.88
Link ID: _y022, 出現回数: 16, current_velocityが0の割合: 0.44
Link ID: _y501, 出現回数: 16, current_velocityが0の割合: 0.62
Link ID: _y949, 出現回数: 15, current_velocityが0の割合: 0.80
Link ID: _y248, 出現回数: 15, current_velocityが0の割合: 0.80
Link ID: _y251, 出現回数: 14, current_velocityが0の割合: 0.86
Link ID: _y654, 出現回数: 14, current_velocityが0の割合: 0.57
Link ID: _y254, 出現回数: 13, current_velocityが0の割合: 0.85
Link ID: _y570, 出現回数: 13, current_velocityが0の割合: 0.62
Link ID: _y470, 出現回数: 12, current_velocityが0の割合: 0.42
Link ID: _y164, 出現回数: 12, current_velocityが0の割合: 0.50
Link ID: _y538, 出現回数: 12, current_velocityが0の割合: 0.50
Link ID: _y754, 出現回数: 12, current_velocityが0の割合: 0.83
Link ID: _y731, 出現回数: 11, current_velocityが0の割合: 0.45
Link ID: _y785, 出現回数: 11, current_velocityが0の割合: 0.36
Link ID: _y579, 出現回数: 11, current_velocityが0の割合: 0.73
Link ID: _y167, 出現回数: 11, current_velocityが0の割合: 0.36
Link ID: _y351, 出現回数: 10, current_velocityが0の割合: 0.70
Link ID: _y436, 出現回数: 10, current_velocityが0の割合: 0.20
Link ID: _y401, 出現回数: 10, current_velocityが0の割合: 0.70
Link ID: _y353, 出現回数: 10, current_velocityが0の割合: 0.70
Link ID: _y217, 出現回数: 9, current_velocityが0の割合: 0.67
Link ID: _y710, 出現回数: 9, current_velocityが0の割合: 0.44
Link ID: _y242, 出現回数: 9, current_velocityが0の割合: 0.33
Link ID: _y314, 出現回数: 8, current_velocityが0の割合: 0.50
Link ID: _y767, 出現回数: 8, current_velocityが0の割合: 0.62
