Link ID: _y653, current_velocityが0の割合: 0.09, 出現回数: 949
Link ID: _y1195, current_velocityが0の割合: 0.09, 出現回数: 196
Link ID: _y397, current_velocityが0の割合: 0.09, 出現回数: 1880
Link ID: _y314, current_velocityが0の割合: 0.09, 出現回数: 44
Link ID: _y065, current_velocityが0の割合: 0.09, 出現回数: 166
Link ID: _y275, current_velocityが0の割合: 0.09, 出現回数: 1836
Link ID: _y929, current_velocityが0の割合: 0.09, 出現回数: 1317
Link ID: _y1134, current_velocityが0の割合: 0.09, 出現回数: 117
Link ID: _y897, current_velocityが0の割合: 0.08, 出現回数: 261
Link ID: _y1112, current_velocityが0の割合: 0.08, 出現回数: 96
Link ID: _y310, current_velocityが0の割合: 0.08, 出現回数: 1417
Link ID: _y885, current_velocityが0の割合: 0.08, 出現回数: 10750
Link ID: _y396, current_velocityが0の割合: 0.08, 出現回数: 1027
Link ID: _y159, current_velocityが0の割合: 0.08, 出現回数: 428
Link ID: _y683, current_velocityが0の割合: 0.08, 出現回数: 989
Link ID: _y215, current_velocityが0の割合: 0.08, 出現回数: 137
Link ID: _y277, current_velocityが0の割合: 0.08, 出現回数: 262
Link ID: _y451, current_velocityが0の割合: 0.08, 出現回数: 25
Link ID: _y548, current_velocityが0の割合: 0.08, 出現回数: 254
Link ID: _y205, current_velocityが0の割合: 0.08, 出現回数: 1073
Link ID: _y387, current_velocityが0の割合: 0.08, 出現回数: 192
Link ID: _y696, current_velocityが0の割合: 0.08, 出現回数: 194
Link ID: _y955, current_velocityが0の割合: 0.08, 出現回数: 220
Link ID: _y176, current_velocityが0の割合: 0.08, 出現回数: 93
Link ID: _y394, current_velocityが0の割合: 0.07, 出現回数: 774
Link ID: _y515, current_velocityが0の割合: 0.07, 出現回数: 107
Link ID: _y1115, current_velocityが0の割合: 0.07, 出現回数: 1935
Link ID: _y150, current_velocityが0の割合: 0.07, 出現回数: 1223
Link ID: _y412, current_velocityが0の割合: 0.07, 出現回数: 1872
Link ID: _y167, current_velocityが0の割合: 0.07, 出現回数: 55
Link ID: _y568, current_velocityが0の割合: 0.07, 出現回数: 781
Link ID: _y707, current_velocityが0の割合: 0.07, 出現回数: 371
Link ID: _y017, current_velocityが0の割合: 0.07, 出現回数: 293
Link ID: _y348, current_velocityが0の割合: 0.07, 出現回数: 15
Link ID: _y998, current_velocityが0の割合: 0.07, 出現回数: 15
Link ID: _y1182, current_velocityが0の割合: 0.07, 出現回数: 1277
Link ID: _y074, current_velocityが0の割合: 0.06, 出現回数: 314
Link ID: _y454, current_velocityが0の割合: 0.06, 出現回数: 159
Link ID: _y771, current_velocityが0の割合: 0.06, 出現回数: 16
Link ID: _y563, current_velocityが0の割合: 0.06, 出現回数: 560
Link ID: _y613, current_velocityが0の割合: 0.06, 出現回数: 54
Link ID: _y472, current_velocityが0の割合: 0.05, 出現回数: 183
Link ID: _y909, current_velocityが0の割合: 0.05, 出現回数: 883
Link ID: _y238, current_velocityが0の割合: 0.05, 出現回数: 148
Link ID: _y442, current_velocityが0の割合: 0.05, 出現回数: 168
Link ID: _y860, current_velocityが0の割合: 0.05, 出現回数: 935
Link ID: _y022, current_velocityが0の割合: 0.05, 出現回数: 144
Link ID: _y1139, current_velocityが0の割合: 0.05, 出現回数: 144
Link ID: _y1199, current_velocityが0の割合: 0.05, 出現回数: 42
Link ID: _y766, current_velocityが0の割合: 0.05, 出現回数: 21
Link ID: _y694, current_velocityが0の割合: 0.05, 出現回数: 980
Link ID: _y552, current_velocityが0の割合: 0.05, 出現回数: 450
Link ID: _y457, current_velocityが0の割合: 0.05, 出現回数: 198
