Link ID: _y302, current_velocityが0の割合: 0.04, 出現回数: 1712
Link ID: _y1114, current_velocityが0の割合: 0.04, 出現回数: 49
Link ID: _y1112, current_velocityが0の割合: 0.04, 出現回数: 25
Link ID: _y665, current_velocityが0の割合: 0.04, 出現回数: 75
Link ID: _y753, current_velocityが0の割合: 0.04, 出現回数: 75
Link ID: _y897, current_velocityが0の割合: 0.04, 出現回数: 151
Link ID: _y889, current_velocityが0の割合: 0.04, 出現回数: 745
Link ID: _y397, current_velocityが0の割合: 0.04, 出現回数: 493
Link ID: _y655, current_velocityが0の割合: 0.04, 出現回数: 261
Link ID: _y301, current_velocityが0の割合: 0.04, 出現回数: 419
Link ID: _y147, current_velocityが0の割合: 0.04, 出現回数: 421
Link ID: _y490, current_velocityが0の割合: 0.04, 出現回数: 27
Link ID: _y617, current_velocityが0の割合: 0.04, 出現回数: 356
Link ID: _y300, current_velocityが0の割合: 0.03, 出現回数: 115
Link ID: _y487, current_velocityが0の割合: 0.03, 出現回数: 203
Link ID: _y1115, current_velocityが0の割合: 0.03, 出現回数: 180
Link ID: _y690, current_velocityが0の割合: 0.03, 出現回数: 30
Link ID: _y744, current_velocityが0の割合: 0.03, 出現回数: 60
Link ID: _y1123, current_velocityが0の割合: 0.03, 出現回数: 610
Link ID: _y267, current_velocityが0の割合: 0.03, 出現回数: 658
Link ID: _y693, current_velocityが0の割合: 0.03, 出現回数: 288
Link ID: _y698, current_velocityが0の割合: 0.03, 出現回数: 1095
Link ID: _y596, current_velocityが0の割合: 0.03, 出現回数: 273
Link ID: _y860, current_velocityが0の割合: 0.03, 出現回数: 315
Link ID: _y044, current_velocityが0の割合: 0.03, 出現回数: 143
Link ID: _y684, current_velocityが0の割合: 0.03, 出現回数: 36
Link ID: _y608, current_velocityが0の割合: 0.03, 出現回数: 328
Link ID: _y289, current_velocityが0の割合: 0.03, 出現回数: 587
Link ID: _y658, current_velocityが0の割合: 0.03, 出現回数: 462
Link ID: _y321, current_velocityが0の割合: 0.03, 出現回数: 1458
Link ID: _y167, current_velocityが0の割合: 0.03, 出現回数: 40
Link ID: _y442, current_velocityが0の割合: 0.03, 出現回数: 40
Link ID: _y310, current_velocityが0の割合: 0.02, 出現回数: 442
Link ID: _y029, current_velocityが0の割合: 0.02, 出現回数: 614
Link ID: _y666, current_velocityが0の割合: 0.02, 出現回数: 41
Link ID: _y013, current_velocityが0の割合: 0.02, 出現回数: 256
Link ID: _y1051, current_velocityが0の割合: 0.02, 出現回数: 428
Link ID: _y045, current_velocityが0の割合: 0.02, 出現回数: 1030
Link ID: _y564, current_velocityが0の割合: 0.02, 出現回数: 2977
Link ID: _y553, current_velocityが0の割合: 0.02, 出現回数: 1067
Link ID: _y874, current_velocityが0の割合: 0.02, 出現回数: 578
Link ID: _y891, current_velocityが0の割合: 0.02, 出現回数: 1957
Link ID: _y454, current_velocityが0の割合: 0.02, 出現回数: 283
Link ID: _y524, current_velocityが0の割合: 0.02, 出現回数: 711
Link ID: _y437, current_velocityが0の割合: 0.02, 出現回数: 51
Link ID: _y873, current_velocityが0の割合: 0.02, 出現回数: 1207
Link ID: _y273, current_velocityが0の割合: 0.02, 出現回数: 158
Link ID: _y417, current_velocityが0の割合: 0.02, 出現回数: 2423
Link ID: _y694, current_velocityが0の割合: 0.02, 出現回数: 371
Link ID: _y683, current_velocityが0の割合: 0.02, 出現回数: 450
Link ID: _y560, current_velocityが0の割合: 0.02, 出現回数: 339
Link ID: _y033, current_velocityが0の割合: 0.02, 出現回数: 1925
Link ID: _y065, current_velocityが0の割合: 0.02, 出現回数: 697
Link ID: _y276, current_velocityが0の割合: 0.02, 出現回数: 824
Link ID: _y856, current_velocityが0の割合: 0.02, 出現回数: 119
Link ID: _y1182, current_velocityが0の割合: 0.02, 出現回数: 424
Link ID: _y148, current_velocityが0の割合: 0.02, 出現回数: 310
Link ID: _y432, current_velocityが0の割合: 0.02, 出現回数: 630
Link ID: _y385, current_velocityが0の割合: 0.02, 出現回数: 64
Link ID: _y552, current_velocityが0の割合: 0.02, 出現回数: 395
Link ID: _y453, current_velocityが0の割合: 0.01, 出現回数: 67
Link ID: _y480, current_velocityが0の割合: 0.01, 出現回数: 1426
Link ID: _y692, current_velocityが0の割合: 0.01, 出現回数: 1744
Link ID: _y205, current_velocityが0の割合: 0.01, 出現回数: 953
Link ID: _y737, current_velocityが0の割合: 0.01, 出現回数: 149
Link ID: _y787, current_velocityが0の割合: 0.01, 出現回数: 151
Link ID: _y775, current_velocityが0の割合: 0.01, 出現回数: 76
Link ID: _y064, current_velocityが0の割合: 0.01, 出現回数: 1801
Link ID: _y448, current_velocityが0の割合: 0.01, 出現回数: 175
Link ID: _y485, current_velocityが0の割合: 0.01, 出現回数: 706
Link ID: _y296, current_velocityが0の割合: 0.01, 出現回数: 355
Link ID: _y592, current_velocityが0の割合: 0.01, 出現回数: 993
Link ID: _y018, current_velocityが0の割合: 0.01, 出現回数: 91
Link ID: _y152, current_velocityが0の割合: 0.01, 出現回数: 471
Link ID: _y739, current_velocityが0の割合: 0.01, 出現回数: 488
Link ID: _y460, current_velocityが0の割合: 0.01, 出現回数: 922
Link ID: _y410, current_velocityが0の割合: 0.01, 出現回数: 558
